cfg_idx,seed,profile,fold,training.num_epochs,optimizer.lr,dataloader.batch_size,policy.Conditional_ConsistencyFM.num_segments,policy.Conditional_ConsistencyFM.eps,policy.Conditional_ConsistencyFM.delta,n_action_steps,n_obs_steps,policy.diffusion_step_embed_dim,_state_mlp_hidden,success_rate_k1,success_rate_k2,success_rate_k3,success_rate_k4,mean_inference_latency_ms,std_inference_latency_ms,trade_off,train_loss_final,val_loss_final,n_infer_episodes,checkpoint_path,status
0,0,standard,0,1000,1e-05,128,1,0.001,0.0001,6,4,256,128,0.0,0.0,0.0,0.0,8.271298654813398,0.18225481818234338,0.0,1.599288509031756e-08,1.5754048732219417e-08,50,/workspace/kripsy12/outputs/experiment_rs/runs/cfg0_seed0_standard/checkpoints/latest.ckpt,ok
0,0,minimal,0,1000,1e-05,128,1,0.001,0.0001,6,4,256,128,0.0,0.0,0.0,0.0,8.302112551841963,0.17679230281783764,0.0,1.5975781808563738e-08,1.5722502411108508e-08,50,/workspace/kripsy12/outputs/experiment_rs/runs/cfg0_seed0_minimal/checkpoints/latest.ckpt,ok
0,42,standard,0,1000,1e-05,128,1,0.001,0.0001,6,4,256,128,0.0,0.0,0.0,0.0,8.2093336408403,0.14763526408032582,0.0,1.5960435084672042e-08,1.596491649991094e-08,50,/workspace/kripsy12/outputs/experiment_rs/runs/cfg0_seed42_standard/checkpoints/latest.ckpt,ok
0,42,minimal,0,1000,1e-05,128,1,0.001,0.0001,6,4,256,128,0.0,0.0,0.0,0.0,8.33378480529373,0.16486949107054252,0.0,1.5971941177047217e-08,1.6173988370837833e-08,50,/workspace/kripsy12/outputs/experiment_rs/runs/cfg0_seed42_minimal/checkpoints/latest.ckpt,ok
0,101,standard,0,1000,1e-05,128,1,0.001,0.0001,6,4,256,128,0.0,0.0,0.0,0.0,8.593151313748132,0.2105514550687379,0.0,1.59114348363687e-08,1.5607557912744596e-08,50,/workspace/kripsy12/outputs/experiment_rs/runs/cfg0_seed101_standard/checkpoints/latest.ckpt,ok
0,101,minimal,0,1000,1e-05,128,1,0.001,0.0001,6,4,256,128,0.0,0.0,0.0,0.0,8.290285231704091,0.2238713571104156,0.0,1.5990614092113258e-08,1.5824836552269517e-08,50,/workspace/kripsy12/outputs/experiment_rs/runs/cfg0_seed101_minimal/checkpoints/latest.ckpt,ok
1,0,standard,0,1000,1e-05,128,4,1.0,0.001,4,4,256,1024,,,,,,,,,,,/workspace/kripsy12/outputs/experiment_rs/runs/cfg1_seed0_standard/checkpoints/latest.ckpt,train_failed_1
1,0,minimal,0,1000,1e-05,128,4,1.0,0.001,4,4,256,1024,,,,,,,,,,,/workspace/kripsy12/outputs/experiment_rs/runs/cfg1_seed0_minimal/checkpoints/latest.ckpt,train_failed_1
1,42,standard,0,1000,1e-05,128,4,1.0,0.001,4,4,256,1024,,,,,,,,,,,/workspace/kripsy12/outputs/experiment_rs/runs/cfg1_seed42_standard/checkpoints/latest.ckpt,train_failed_1
1,42,minimal,0,1000,1e-05,128,4,1.0,0.001,4,4,256,1024,,,,,,,,,,,/workspace/kripsy12/outputs/experiment_rs/runs/cfg1_seed42_minimal/checkpoints/latest.ckpt,train_failed_1
1,101,standard,0,1000,1e-05,128,4,1.0,0.001,4,4,256,1024,,,,,,,,,,,/workspace/kripsy12/outputs/experiment_rs/runs/cfg1_seed101_standard/checkpoints/latest.ckpt,train_failed_1
1,101,minimal,0,1000,1e-05,128,4,1.0,0.001,4,4,256,1024,,,,,,,,,,,/workspace/kripsy12/outputs/experiment_rs/runs/cfg1_seed101_minimal/checkpoints/latest.ckpt,train_failed_1
2,0,standard,0,3000,1e-05,64,4,0.01,0.0001,2,4,128,128,0.0,0.0,0.0,0.0,8.416118569339492,0.3623907231345572,0.0,1.158560083055112e-08,1.1311154679560786e-08,50,/workspace/kripsy12/outputs/experiment_rs/runs/cfg2_seed0_standard/checkpoints/latest.ckpt,ok
2,0,minimal,0,3000,1e-05,64,4,0.01,0.0001,2,4,128,128,0.0,0.0,0.0,0.0,8.31166644663816,0.2676200231144366,0.0,1.1578202378329886e-08,1.1318712189734015e-08,50,/workspace/kripsy12/outputs/experiment_rs/runs/cfg2_seed0_minimal/checkpoints/latest.ckpt,ok
2,42,standard,0,3000,1e-05,64,4,0.01,0.0001,2,4,128,128,0.0,0.0,0.0,0.0,8.190105021066431,0.26434922175059333,0.0,1.1463238747122517e-08,1.1179067449518243e-08,50,/workspace/kripsy12/outputs/experiment_rs/runs/cfg2_seed42_standard/checkpoints/latest.ckpt,ok
2,42,minimal,0,3000,1e-05,64,4,0.01,0.0001,2,4,128,128,0.0,0.0,0.0,0.0,8.293692753384155,0.23493613511450187,0.0,1.1439096595881418e-08,1.1160497415119153e-08,50,/workspace/kripsy12/outputs/experiment_rs/runs/cfg2_seed42_minimal/checkpoints/latest.ckpt,ok
